Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip_0	0.083982	1.679650	0.014798	0.000077	0.282163
specbzip_1	0.161025	1.610247	0.014675	0.000077	0.282157
spechmmer_0	0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer_1	0.118530	1.185304	0.001629	0.000221	0.077747
speclibm_0	0.174671	3.493415	0.060972	0.000094	0.999944
speclibm_1	0.262327	2.623265	0.060971	0.000094	0.999944
specmcf_0	0.064955	1.299095	0.002108	0.023612	0.055046
specmcf_1	0.127942	1.279422	0.002108	0.023627	0.055046
specsjeng_0	0.513528	10.270554	0.121831	0.000020	0.999972
specsjeng_1	0.704056	7.040561	0.121831	0.000020	0.999972
